City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
61,coyhaique,-45.5752,-72.0662,38.57,98,100,7.81,CL,Wed Sep 11 21:53:42 2024
62,waingapu,-9.6567,120.2641,86.02,52,13,13.53,ID,Wed Sep 11 21:53:42 2024
63,cabo san lucas,22.8909,-109.9124,89.91,58,75,6.91,MX,Wed Sep 11 21:53:30 2024
64,gadzhiyevo,69.2551,33.3362,56.07,81,25,11.95,RU,Wed Sep 11 21:53:42 2024
65,kununurra,-15.7667,128.7333,91.38,49,55,10.36,AU,Wed Sep 11 21:53:42 2024
66,hawaiian paradise park,19.5933,-154.9731,80.87,83,100,8.05,US,Wed Sep 11 21:53:42 2024
67,katabu,-4.9333,122.5167,86.09,50,98,6.8,ID,Wed Sep 11 21:53:43 2024
68,usiacuri,10.75,-74.9833,79.32,90,100,3.0,CO,Wed Sep 11 21:53:43 2024
69,ushuaia,-54.8,-68.3,44.26,57,75,5.75,AR,Wed Sep 11 21:49:12 2024
70,cururupu,-1.8283,-44.8683,74.98,86,12,2.82,BR,Wed Sep 11 21:53:43 2024
71,otumba,19.7,-98.75,60.13,87,77,6.6,MX,Wed Sep 11 21:53:43 2024
72,mudanjiang,44.5833,129.6,66.27,63,57,6.85,CN,Wed Sep 11 21:53:43 2024
73,palikir - national government center,6.9248,158.1611,79.65,94,100,6.91,FM,Wed Sep 11 21:53:43 2024
74,namdrik,5.5994,168.1028,84.6,70,23,12.95,MH,Wed Sep 11 21:53:43 2024
75,kamaishi,39.2667,141.8833,80.53,73,44,3.94,JP,Wed Sep 11 21:53:43 2024
76,uturoa,-16.7333,-151.4333,78.75,76,4,9.31,PF,Wed Sep 11 21:53:43 2024
77,petropavlovsk-kamchatsky,53.0452,158.6483,59.59,48,75,4.47,RU,Wed Sep 11 21:53:44 2024
78,lompoc,34.6391,-120.4579,64.69,88,100,16.11,US,Wed Sep 11 21:53:44 2024
79,olonkinbyen,70.9221,-8.7187,34.45,97,100,37.31,SJ,Wed Sep 11 21:53:44 2024
80,barra de santo antonio,-9.4047,-35.5072,75.06,75,7,10.76,BR,Wed Sep 11 21:53:44 2024
81,bugana,7.9992,7.5836,73.53,97,36,2.57,NG,Wed Sep 11 21:53:44 2024
82,matipo,-20.2839,-42.3411,64.76,63,0,5.12,BR,Wed Sep 11 21:53:44 2024
83,saryozek,44.3583,77.9753,53.69,52,3,4.38,KZ,Wed Sep 11 21:53:44 2024
84,cannonvale,-20.2833,148.7,74.59,63,2,14.38,AU,Wed Sep 11 21:53:44 2024
85,seven pagodas,12.6264,80.1722,83.66,64,91,9.1,IN,Wed Sep 11 21:53:44 2024
86,villamontes,-21.25,-63.5,65.08,53,79,6.51,BO,Wed Sep 11 21:53:44 2024
87,grand island,40.925,-98.342,75.02,48,0,8.05,US,Wed Sep 11 21:53:45 2024
88,puerto ayora,-0.7393,-90.3518,70.56,96,83,5.99,EC,Wed Sep 11 21:53:45 2024
89,tanumah,27.1,44.1333,83.66,18,33,5.55,SA,Wed Sep 11 21:53:45 2024
90,udachny,66.4167,112.4,40.96,93,100,22.39,RU,Wed Sep 11 21:53:45 2024
91,misratah,32.3754,15.0925,78.15,65,0,3.0,LY,Wed Sep 11 21:53:45 2024
92,peniche,39.3558,-9.3811,64.2,92,92,25.66,PT,Wed Sep 11 21:53:45 2024
93,jamestown,42.097,-79.2353,65.84,91,0,6.91,US,Wed Sep 11 21:48:55 2024
94,hammerfest,70.6634,23.6821,59.45,67,69,17.27,NO,Wed Sep 11 21:53:45 2024
95,asmara,15.3333,38.9333,60.87,70,49,2.26,ER,Wed Sep 11 21:53:46 2024
96,arquitecto tomas romero pereira,-26.4833,-55.25,75.16,28,17,5.32,PY,Wed Sep 11 21:53:46 2024
97,port lincoln,-34.7333,135.8667,57.47,58,0,9.55,AU,Wed Sep 11 21:53:46 2024
98,port mathurin,-19.6833,63.4167,71.85,73,39,15.57,MU,Wed Sep 11 21:53:46 2024
99,st. john's,47.5649,-52.7093,59.14,67,75,11.5,CA,Wed Sep 11 21:53:46 2024
100,dudinka,69.4058,86.1778,50.27,91,0,12.33,RU,Wed Sep 11 21:53:46 2024
101,el bauga,18.262,33.9081,92.01,19,60,6.71,SD,Wed Sep 11 21:53:46 2024
102,college,64.8569,-147.8028,57.07,66,75,9.22,US,Wed Sep 11 21:53:46 2024
103,rio branco do sul,-25.19,-49.3142,71.92,37,0,0.22,BR,Wed Sep 11 21:53:46 2024
104,evanston,42.0411,-87.6901,77.09,57,0,3.44,US,Wed Sep 11 21:53:47 2024
105,frontera,26.9333,-101.45,83.89,54,1,1.99,MX,Wed Sep 11 21:53:47 2024
106,flying fish cove,-10.4217,105.6791,78.48,88,100,13.8,CX,Wed Sep 11 21:53:47 2024
107,kuta,-8.7233,115.1723,84.15,74,40,11.5,ID,Wed Sep 11 21:49:00 2024
108,khandyga,62.6667,135.6,45.79,96,100,3.44,RU,Wed Sep 11 21:53:47 2024
109,nantucket,41.2835,-70.0995,61.14,94,0,0.0,US,Wed Sep 11 21:53:47 2024
110,kerikeri,-35.2268,173.9474,61.68,50,2,6.38,NZ,Wed Sep 11 21:53:47 2024
111,ola,59.5833,151.2833,49.01,87,100,11.59,RU,Wed Sep 11 21:53:48 2024
112,rongelap,11.1635,166.8941,83.61,75,58,15.35,MH,Wed Sep 11 21:53:48 2024
113,whitehorse,60.7161,-135.0538,59.77,48,20,8.05,CA,Wed Sep 11 21:53:48 2024
114,pinheiro machado,-31.5783,-53.3811,53.06,100,100,14.27,BR,Wed Sep 11 21:53:27 2024
115,vadso,70.0744,29.7487,57.36,82,98,9.22,NO,Wed Sep 11 21:53:48 2024
116,kashgar,39.4547,75.9797,61.81,51,0,4.47,CN,Wed Sep 11 21:53:48 2024
117,bilibino,68.0546,166.4372,50.18,52,12,2.42,RU,Wed Sep 11 21:53:48 2024
118,shaowu,27.3409,117.4831,87.06,70,100,0.76,CN,Wed Sep 11 21:53:48 2024
119,akureyri,65.6835,-18.0878,30.13,93,1,2.3,IS,Wed Sep 11 21:53:48 2024
120,blackmans bay,-43.0167,147.3167,57.72,56,78,3.0,AU,Wed Sep 11 21:53:49 2024
121,buenaventura,3.8801,-77.0312,76.06,96,100,2.62,CO,Wed Sep 11 21:53:49 2024
122,calama,-22.4667,-68.9333,57.69,15,0,6.91,CL,Wed Sep 11 21:53:49 2024
123,hamilton,39.1834,-84.5333,72.43,56,0,3.44,US,Wed Sep 11 21:50:52 2024
124,mumbwa,-14.9783,27.0619,67.17,49,0,9.1,ZM,Wed Sep 11 21:53:49 2024
125,hithadhoo,-0.6,73.0833,83.75,69,11,7.54,MV,Wed Sep 11 21:53:49 2024
126,pandan,14.0453,124.1694,86.11,72,100,10.94,PH,Wed Sep 11 21:53:49 2024
127,carnarvon,-24.8667,113.6333,76.33,54,0,13.56,AU,Wed Sep 11 21:53:49 2024
128,tiksi,71.6872,128.8694,39.47,82,100,17.78,RU,Wed Sep 11 21:53:49 2024
129,tagab,34.855,69.6492,65.79,7,0,5.77,AF,Wed Sep 11 21:53:50 2024
130,kochenevo,55.0218,82.202,38.59,78,100,11.32,RU,Wed Sep 11 21:53:50 2024
131,sanctuary point,-35.1114,150.629,61.12,67,87,18.48,AU,Wed Sep 11 21:53:50 2024
132,ko lanta,7.5336,99.0865,81.05,80,72,10.38,TH,Wed Sep 11 21:53:50 2024
133,thinadhoo,0.5333,72.9333,83.14,70,14,4.85,MV,Wed Sep 11 21:53:50 2024
134,utrik,11.2278,169.8474,83.32,77,14,11.14,MH,Wed Sep 11 21:53:50 2024
135,jalai nur,49.45,117.7,57.09,39,100,16.02,CN,Wed Sep 11 21:53:50 2024
136,phra pradaeng,13.6585,100.5336,84.15,73,97,4.76,TH,Wed Sep 11 21:53:50 2024
137,east london,-33.0153,27.9116,65.03,89,100,24.38,ZA,Wed Sep 11 21:53:50 2024
138,kemalpasa,38.4262,27.4173,66.78,85,0,3.02,TR,Wed Sep 11 21:53:50 2024
139,severo-yeniseyskiy,60.3725,93.0408,36.43,95,100,4.03,RU,Wed Sep 11 21:53:51 2024
140,carutapera,-1.195,-46.02,78.12,79,77,8.41,BR,Wed Sep 11 21:53:51 2024
141,invercargill,-46.4,168.35,47.01,89,100,7.0,NZ,Wed Sep 11 21:53:51 2024
142,caraballeda,10.6112,-66.8522,78.87,78,40,2.3,VE,Wed Sep 11 21:53:51 2024
143,manaure,11.7751,-72.4445,86.49,73,15,15.61,CO,Wed Sep 11 21:53:51 2024
144,raciborz,50.0919,18.2193,57.72,91,100,5.06,PL,Wed Sep 11 21:53:51 2024
145,wuchuan,21.4571,110.7659,85.77,71,98,7.63,CN,Wed Sep 11 21:53:51 2024
146,cabedelo,-6.9811,-34.8339,72.27,80,52,15.59,BR,Wed Sep 11 21:53:51 2024
147,kikvidze,50.7416,43.0518,64.27,39,74,11.16,RU,Wed Sep 11 21:53:52 2024
148,ulladulla,-35.35,150.4667,58.71,76,89,16.96,AU,Wed Sep 11 21:53:52 2024
